Date Published,News Outlet,Title
2023-10-30T18:27:44Z,Reuters,Israel's El Al stops flying over Oman on Bangkok route
2023-10-29T17:07:49Z,Reuters,"Israel awards gas exploration licences to ENI, BP and four others"
2023-10-31T12:55:44Z,Reuters,"Alliance Of 40 Countries To Vow Not To Pay Ransom To Cybercriminals, US Says"
2023-10-31T11:52:39Z,Reuters,WHO warns of 'imminent public health catastrophe' in Gaza
2023-11-01T12:41:46Z,Reuters,"Gaza's only cancer hospital goes out of service, health officials say"
2023-11-02T21:06:28Z,Reuters,U.N. votes to end US embargo on Cuba; US and Israel oppose
2023-11-03T18:34:49Z,Reuters,Gaza health ministry says Israel strikes ambulance convoy
2023-11-06T00:00:24Z,Reuters,"Starlink achieves cash-flow breakeven, says SpaceX CEO Musk"
2023-11-07T05:39:16Z,Reuters,ONZ nazywa Gazę „cmentarzem dzieci”
2023-11-09T14:57:23Z,Reuters,Ten Palestinians killed by Israeli forces in Jenin - Palestinian health ministry
2023-11-12T20:23:23Z,Reuters,"Looming Emirates 777X deal to kickstart Dubai Airshow, sources say"
2023-11-01T20:46:49Z,The Hill,"GOP plan to ‘offset’ Israel aid with IRS cuts would backfire, budget experts warn"
2023-11-03T12:00:03Z,The Hill,Bring back the draft? Divisive home-front battle will loom over any major war...
2023-11-06T01:55:36Z,The Hill,Minister suspended after nuke bomb talk...
2023-11-07T17:07:37Z,The Hill,Larry Hogan targets both parties in new ad amid rumors of White House bid...
2023-11-08T13:00:03Z,The Hill,Israel faces daunting fight in Gaza City...
2023-11-10T14:00:03Z,The Hill,High-stakes summit...
2023-11-10T15:08:31Z,The Hill,Should you talk about divisive topics at work?
2023-11-12T13:00:06Z,The Hill,DC establishment thinks could win. They're panicking...
2023-11-14T23:00:03Z,The Hill,House votes to avert shutdown...Dems Rescue Johnson...
2023-11-14T17:29:31Z,The Hill,Gaza hospital is ‘nearly a cemetery’ amid Israel-Hamas strikes: World Health Organization
2023-11-17T19:16:38Z,The Hill,Pro-Palestinian protesters enter FOX building...
2023-11-24T22:25:36Z,The Hill,39 PALESTINIAN PRISONERS OUT
2023-11-24T18:58:37Z,The Hill,Ranking the swing states: Where Biden in most danger...
2023-11-27T12:13:37Z,The Hill,Santos in spotlight as House reconvenes...
2023-10-28T17:26:49Z,BBC News,"Israel has no plan for Gaza after war ends, experts warn"
2023-10-28T20:55:50Z,BBC News,Israel recalls diplomats from Turkey in Gaza row
2023-10-28T17:33:22Z,BBC News,Tanks 'two kilometres deep' in northern Gaza
2023-10-28T13:00:16Z,BBC News,Israeli hostages' families anxious over military's Gaza plans
2023-10-27T17:21:42Z,BBC News,Explosions seen as Gaza Strip in darkness
2023-10-27T15:48:08Z,Vice News,News Coverage of Israel and Palestine Makes Me Ashamed to be a Journalist
2023-10-28T07:17:51Z,BBC News,What happened in Gaza overnight?
2023-10-27T22:18:32Z,BBC News,Hostage negotiations appear to have stopped - Jeremy Bowen
2023-10-28T17:17:42Z,Vice News,US Should Press Israel to Implement Measures to Save ‘Tens of Thousands of Lives’ in Gaza: Internal Cable
