Date Published,News Outlet,Title
2023-11-06T17:22:50Z,Vice News,Canadian Politician Booted for Israel Comments Is Not Backing Down
2023-11-06T16:32:05Z,Vice News,"US, Israel Officials Divided Over IDF Ground Invasion of Gaza"
2023-11-07T18:45:37Z,Vice News,Adobe Is Selling Fake AI-Generated Images of Violence in Gaza and Israel
2023-11-06T17:22:50Z,Vice News,Canadian Politician Booted for Israel Comments Is Not Backing Down
2023-11-07T16:12:02Z,Vice News,Pro-Palestine Protesters Delay US Military Ship They Say Is Delivering Weapons to Israel
2023-11-06T16:32:05Z,Vice News,"US, Israel Officials Divided Over IDF Ground Invasion of Gaza"
2023-11-07T15:21:31Z,Vice News,Did Israel Finally Confirm It Has Nuclear Weapons by Threatening Gaza?
2023-11-07T19:55:02Z,Vice News,Police Investigating After Jewish Man Sustained a Fatal Head Injury After Protest Altercation
2023-11-07T18:45:37Z,Vice News,Adobe Is Selling Fake AI-Generated Images of Violence in Gaza and Israel
2023-11-07T16:12:02Z,Vice News,Pro-Palestine Protesters Delay US Military Ship They Say Is Delivering Weapons to Israel
2023-11-07T15:21:31Z,Vice News,Did Israel Finally Confirm It Has Nuclear Weapons by Threatening Gaza?
2023-11-07T19:55:02Z,Vice News,Police Investigating After Jewish Man Sustained a Fatal Head Injury After Protest Altercation
2023-11-09T13:53:47Z,Vice News,"What We Know About the Massive Chemical Fire in Shepherd, Texas"
2023-11-09T13:53:47Z,Vice News,"What We Know About the Massive Chemical Fire in Shepherd, Texas"
2023-11-13T20:23:31Z,Vice News,"TikTok: It's Not the Algorithm, Teens Are Just Pro-Palestine"
2023-11-14T16:47:40Z,Vice News,"Israeli-Canadian Peace Activist’s Remains Identified, Weeks After Believed Kidnapped"
2023-11-14T16:27:55Z,Vice News,What It's Like Being Jewish or Palestinian in Germany Right Now
2023-11-14T08:00:00Z,Vice News,A Gaza Musician Has Been Documenting the Daily Reality of the War
2023-11-13T20:23:31Z,Vice News,"TikTok: It's Not the Algorithm, Teens Are Just Pro-Palestine"
2023-11-14T16:47:40Z,Vice News,"Israeli-Canadian Peace Activist’s Remains Identified, Weeks After Believed Kidnapped"
2023-11-14T16:27:55Z,Vice News,What It's Like Being Jewish or Palestinian in Germany Right Now
2023-11-14T08:00:00Z,Vice News,A Gaza Musician Has Been Documenting the Daily Reality of the War
2023-11-16T16:23:29Z,Vice News,When You Face a Backlash For Speaking Out About Palestine
2023-11-16T17:17:09Z,Vice News,Israel Wanted Ground Offensive Before Hostage Deal: Sources
2023-11-16T18:07:17Z,Vice News,"Racist Premium X Users Exploiting Israel-Hamas War to Push Antisemitism, Islamophobia: Study"
2023-11-16T14:24:23Z,Vice News,The Far Right Is Loving Elon Musk's Comments About Jewish Groups Corrupting 'the West'
2023-11-16T17:27:05Z,Vice News,Russia Televises New Nuclear-Capable Hypersonic Missile Being Loaded Into Silo
2023-11-17T18:01:15Z,Vice News,Protesters Are Targeting Defense Contractors That Bragged About Profits from Gaza
2023-11-16T16:23:29Z,Vice News,When You Face a Backlash For Speaking Out About Palestine
2023-11-16T17:17:09Z,Vice News,Israel Wanted Ground Offensive Before Hostage Deal: Sources
2023-11-17T15:41:39Z,Vice News,"A Century-Old, Debunked Theory Is Fueling the TikTok Moral Panic"
2023-11-16T18:07:17Z,Vice News,"Racist Premium X Users Exploiting Israel-Hamas War to Push Antisemitism, Islamophobia: Study"
2023-11-16T14:24:23Z,Vice News,The Far Right Is Loving Elon Musk's Comments About Jewish Groups Corrupting 'the West'
