Date Published,News Outlet,Title
2023-10-26T07:05:55Z,ABC News,"Increase in harassment against Jewish, Muslim Americans reported since Hamas attacks"
2023-10-25T08:04:13Z,ABC News,Israel-Gaza live updates: US confident Israel not responsible for Gaza hospital blast
2023-10-25T05:29:09Z,ABC News,Israel-Gaza live updates: US confident Israel not responsible for Gaza hospital blast
2023-10-26T19:04:36Z,Fox News,Dem gov gets warning from Muslims in state after attending pro-Israel rally...
2023-10-26T02:58:35Z,Politico,"FBI, DHS warn of U.S. hate crimes increase amid Israel-Hamas war"
2023-10-25T09:00:00Z,Politico,’No one will be spared’: A guide to Middle East fallout from the Israel-Hamas war
2023-10-26T20:26:54Z,ABC News,"Grand jury indicts Illinois man on hate crime, murder charges in attack on Muslim mom, son"
2023-10-26T02:21:36Z,Politico,Al Jazeera correspondent loses 4 family members in Gaza
2023-10-26T13:07:36Z,Associated Press,Florida orders state universities to disband 'pro-Hamas' group...
2023-10-25T22:59:30Z,Politico,Mayor Karen Bass denounces ‘vile’ crime against Jewish family in Los Angeles
2023-10-26T21:26:30Z,ABC News,Exclusive: Mother of 6-year-old Muslim boy killed in alleged hate crime speaks out
2023-10-26T13:07:36Z,Associated Press,Dem divisions on war boil over in Michigan as Muslims feel betrayed...
2023-10-25T13:43:36Z,Associated Press,Support for Israel becomes top issue for Iowa evangelicals key to GOP caucuses...
2023-10-25T11:27:36Z,ABC News,Belgian police are looking for Palestinian man following report he could plan attack
2023-10-25T12:12:00Z,CBS News,"If Israel does ""destroy Hamas,"" who will lead the Palestinians in Gaza?"
2023-10-26T23:26:40Z,Politico,Anti-Israel protests on college campuses drive calls for increased safety
2023-10-26T21:22:11Z,ABC News,"WATCH: Israeli military briefly enters northern Gaza, IDF says"
2023-10-26T06:55:25Z,ABC News,US and China seek to ease strained ties and prepare for possible Biden-Xi summit
2023-10-26T17:35:22Z,CBS News,Some Middle East countries call for Israel-Hamas ceasefire
2023-10-25T02:34:40Z,CNN,Queen Rania of Jordan accuses West of 'glaring double standard' as the death toll rises in besieged Gaza
2023-10-26T13:42:00Z,CBS News,"Israeli forces raid Gaza, preparing for ""next stages of the war"""
2023-10-25T21:29:21Z,CBS News,Why is there a fuel shortage in Gaza?
2023-10-25T16:26:40Z,CBS News,Many Israeli civilians flee as front-line towns brace for more violence
2023-10-25T21:48:00Z,CBS News,Biden urges two-state solution for Israel and Palestinians in remarks with Australian leader
2023-10-26T16:27:45Z,CBS News,Families of Americans trapped in Gaza are scared and feel abandoned
2023-10-25T15:16:17Z,CNN,Fears of another Palestinian exodus reverberate across the Middle East
2023-10-26T16:42:11Z,NBC News,"As strikes flatten Gaza, furious protests and settler violence rock the West Bank"
2023-10-25T11:39:41Z,CNN,"Jews, Palestinians and Muslims in the US say they're experiencing growing fear about rising bigotry and hatred"
2023-10-26T01:13:00Z,CBS News,What Gaza's fuel shortage means for Palestinians
2023-10-25T00:28:00Z,CBS News,Israel ramps up airstrikes on Gaza ahead of planned invasion
2023-10-25T09:07:59Z,Politico,Gov. Gavin Newsom meets with Chinese President Xi Jinping
2023-10-26T01:20:00Z,CBS News,How Biden could influence next steps in Israel-Hamas war
2023-10-25T16:19:12Z,CBS News,Israel resists calls for ceasefire as Hamas says Gaza death toll is soaring
2023-10-25T14:39:32Z,NBC News,Biden avoids taking up the mantle of a wartime president
2023-10-26T17:06:31Z,NBC News,Marjorie Taylor Greene files censure resolution accusing Rashida Tlaib of inciting an insurrection
2023-10-25T01:35:48Z,NBC News,The many reasons Netanyahu may be delaying an Israeli ground offensive in Gaza
2023-10-25T04:34:31Z,CNN,UN agency warns its fuel will run dry on Wednesday as Palestinian officials say 700 Gazans killed in a single day
2023-10-26T16:55:00Z,CBS News,Israel continues preparations for ground invasion; U.N. running out of fuel to aid Gaza
2023-10-25T18:34:12Z,CBS News,"Gaza facing major fuel shortage, U.N. says, as Israeli airstrikes intensify"
2023-10-26T21:08:03Z,CBS News,Israeli troops raid northern Gaza overnight as possible ground offensive looms
2023-10-25T13:59:03Z,CBS News,"Israeli forces, Palestinians clash in West Bank; fuel blockade threatens Gaza relief operations"
2023-10-26T06:39:38Z,CNN,Israel-Hamas war rages as Gaza deaths mount
2023-10-25T06:09:45Z,CNN,Israel-Hamas war rages as Gaza deaths mount
2023-10-25T09:18:50Z,ABC News,Russian parliament's upper house rescinds ratification of global nuclear test ban
2023-10-26T13:06:55Z,CBS News,Israel conducts overnight raids in Gaza
2023-10-25T16:05:58Z,Politico,White House changes up its messaging in hopes of salvaging Ukraine aid
2023-10-25T05:00:03Z,CBS News,10/24: CBS Evening News
2023-10-26T01:18:00Z,CBS News,"Antisemitic, Islamophobic incidents rise amid Israel-Hamas war"
2023-10-25T14:04:21Z,CNN,IMF says Israel-Hamas war likely to hit neighboring economies
2023-10-26T11:00:02Z,Associated Press,Israeli troops carry out ground raid into Gaza before expected incursion...
2023-10-25T14:49:33Z,CBS News,Civilian group protecting Israeli kibbutz near Gaza
2023-10-26T15:42:45Z,ABC News,Many Israelis are furious at their government's chaotic recovery efforts after Hamas attack
2023-10-25T05:32:51Z,CBS News,"U.S. intelligence: ""Motor failure"" of Palestinian rocket caused hospital blast"
2023-10-25T12:57:48Z,CNN,Israel-UN spat intensifies after Secretary General says Hamas attacks 'did not happen in a vacuum'
2023-10-26T05:34:18Z,ABC News,"Fearing airstrikes and crowded shelters, Palestinians in north Gaza defy Israeli evacuation orders"
2023-10-25T14:21:00Z,CBS News,"U.S. sees spike in antisemitic incidents since Hamas-Israel war, ADL finds"
2023-10-25T10:00:20Z,CNN,UPenn donors were furious about the Palestine Writes Literature Festival. What about it made them pull their funds?
2023-10-25T13:59:20Z,CBS News,Armed civilian guards protect evacuated kibbutz near Gaza border
2023-10-26T13:52:44Z,CBS News,Israeli troops launch overnight ground raid in northern Gaza
2023-10-25T06:38:31Z,ABC News,"Live updates | Israel's bombardment in Gaza surges, reducing buildings to rubble"
2023-10-25T15:49:03Z,CBS News,How Hamas tunnels could affect any Israeli ground invasion
2023-10-25T14:13:17Z,CBS News,Biden meets with Australia's prime minister at White House for state visit
2023-10-25T12:45:09Z,CBS News,Eye Opener: Israel rejects U.N.'s calls for ceasefire
2023-10-25T15:22:42Z,CBS News,Bank of Israel trims economic growth outlook amid war
2023-10-25T23:56:40Z,CBS News,"White House state dinner celebrates Australia ties, nods to Israel-Hamas war"
2023-10-25T23:42:00Z,CBS News,"Antisemitic incidents on the rise in weeks after Israel-Hamas war, Anti-Defamation League says"
2023-10-25T13:56:02Z,CBS News,U.N. says a third of Gaza's hospitals have stopped functioning
2023-10-26T21:16:03Z,CBS News,What is Syria's role as war in Israel impacts the Middle East?
2023-10-26T12:52:37Z,CBS News,Eye Opener: Gunman at large after mass shooting in Maine
2023-10-25T16:00:04Z,CBS News,Biden welcomes Australian prime minister to White House for state visit
2023-10-26T00:06:34Z,ABC News,Al Jazeera Gaza correspondent loses 4 family members in an Israeli airstrike
2023-10-25T20:14:20Z,ABC News,Biden condemns retaliatory attacks by Israeli settlers against Palestinians in the West Bank
2023-10-25T15:20:10Z,CBS News,Israel says it struck Syrian military sites in response to rocket attacks
2023-10-25T19:14:27Z,Fox News,New breed of military AI robo-dogs could be the Marines' secret weapon
2023-10-26T14:38:46Z,ABC News,Palestinian activist is expelled by Israeli forces from his home in a volatile West Bank city
2023-10-25T09:10:58Z,ABC News,U.N. warns Gaza blockade could force it to sharply cut relief operations as bombings rise
2023-10-26T08:17:58Z,NBC News,Israel launches large 'targeted raid' inside Gaza
2023-10-25T20:44:59Z,NBC News,"Israel-Hamas war continues to roil American colleges, sparking walkouts"
2023-10-25T14:42:08Z,NBC News,Senate committee advances Jack Lew's nomination to be U.S. ambassador to Israel
2023-10-25T08:09:47Z,NBC News,Gaza fuel running out; hostage talks progressing
2023-10-25T21:34:40Z,ABC News,"Florida orders state universities to disband pro-Palestinian student group, saying it backs Hamas"
2023-10-26T20:00:00Z,NBC News,Firing of science journal editor after Gaza post sparks free speech rift
2023-10-26T09:00:00Z,Politico,How climate is helping repair the U.S.-China relationship
2023-10-25T23:00:00Z,NBC News,Biden administration pushes for a humanitarian 'pause' in Israel’s military campaign in Gaza
2023-10-25T17:00:02Z,The Wall Street Journal,Israel Battles on Multiple Fronts as Conflict Risks Spreading...
2023-10-25T19:54:19Z,The Washington Post,Biden emphasizes need for Palestinian state after Israel-Gaza war
2023-10-25T17:52:49Z,CNN,A nonprofit is racing to get its portable baby incubators into Israel and Gaza as crisis deepens
2023-10-25T19:28:31Z,CBS News,Mike Johnson is the new speaker of the House. Now what?
2023-10-26T15:18:23Z,ABC News,"DeSantis says Florida has sent drones, weapons, and ammo to Israel, a major issue in the GOP primary"
2023-10-25T23:39:00Z,CBS News,Hundreds of Americans remain trapped in Gaza
2023-10-25T16:46:29Z,ABC News,Israel accuses UN chief of justifying terrorism for saying Hamas attack 'didn't happen in a vacuum'
2023-10-26T23:51:00Z,CBS News,Israeli forces conduct targeted raid in Gaza
2023-10-26T00:12:32Z,NBC News,Americans with family in Gaza fear for loved ones
2023-10-26T07:50:18Z,ABC News,"UN Security Council fails again to address Israel-Hamas war, rejecting US and Russian resolutions"
2023-10-25T21:48:31Z,NBC News,White House increases outreach to Muslim and Arab-Americans in face of criticism to Israel-Gaza war response
2023-10-25T15:00:35Z,CBS News,10/25: CBS News Mornings
2023-10-26T04:22:08Z,ABC News,Democrats' divisions on Israel-Hamas war boil over in Michigan as Detroit-area Muslims feel betrayed
2023-10-25T13:57:59Z,CNN,"Two dozen US military personnel suffered minor injuries in recent drone attacks, official says"
2023-10-26T04:22:02Z,ABC News,Democrats' divisions on Israel-Hamas war boil over in Michigan as Detroit-area Muslims feel betrayed
2023-10-25T23:39:00Z,CBS News,Many Gaza hospitals unable to function due to dire fuel shortage
2023-10-27T01:39:14Z,ABC News,State Department struggles to explain why American citizens still can't exit Gaza
2023-10-27T05:13:20Z,ABC News,Israel-Gaza live updates: US making progress toward escape for Americans in Gaza
2023-10-27T16:13:34Z,Politico,Muslim leaders criticize Biden over his Palestinian death toll remarks in private meeting
2023-10-27T19:50:00Z,Politico,Internet blackout in Gaza as Israel expands operations
